class,numOfCorrect
http://api.stardog.com/Agent,5461
http://api.stardog.com/Place,4509
http://api.stardog.com/Work,2624
http://api.stardog.com/Language,1002
http://api.stardog.com/TopicalConcept,657
http://api.stardog.com/Disease,186
http://api.stardog.com/Colour,172
http://api.stardog.com/Event,148
http://api.stardog.com/EthnicGroup,109
http://api.stardog.com/ChemicalSubstance,102
http://api.stardog.com/Species,66
http://api.stardog.com/MeanOfTransportation,56
http://api.stardog.com/Activity,42
http://api.stardog.com/Device,29
http://api.stardog.com/Food,26
http://api.stardog.com/Award,5
http://api.stardog.com/Currency,1
http://api.stardog.com/AnatomicalStructure,1
http://api.stardog.com/SportsSeason,1
http://api.stardog.com/Holiday,1
http://api.stardog.com/Name,1