Number,question,Annotated Class,Manual Annotation,Remarks,class,Number of empty annotations: 0
97,what was the capital of ancient israel?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,"['common.topic', 'music.release_track']",
98,what was the cause of death for sage stallone?,Disease,Disease,,['base.skosbase.skos_concept'],
99,what was the first name of the washington redskins?,Text,Text,,SPORTS,
100,what were marco polo's goals?,TopicalConcept,"TopicalConcept (AcademicSubject, CardinalDirection, Fashion, Genre, Ideology, MathematicalConcept, PhilosophicalConcept, PoliticalConcept, ScientificConcept, Standard, SystemOfLaw, Tax, Taxon, TheologicalConcept, Type)",,HUMAN,
101,what year was the great san francisco fire?,DateTime,"DateTime (Date, Time, Year)",,DATE-TIME,
102,what years did yankees win championships?,DateTime,"DateTime (Date, Time, Year)",,DATE-TIME,
103,when did george w bush take office?,DateTime,"DateTime (Date, Time, Year)",,DATE-TIME,
104,when did the arab israeli war start?,DateTime,"DateTime (Date, Time, Year)",,DATE-TIME,
105,when did the mets win the pennant?,DateTime,"DateTime (Date, Time, Year)",,DATE-TIME,
106,when is the last time the chicago bulls won a championship?,DateTime,"DateTime (Date, Time, Year)",,DATE-TIME,
107,when will muharram start 2011?,DateTime,"DateTime (Date, Time, Year)",,DATE-TIME,
108,when will oscar pistorius compete?,DateTime,"DateTime (Date, Time, Year)",,DATE-TIME,
109,where are brembo brakes from?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
110,where are riddell helmets manufactured?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,ENTITY,
111,where are the headquarters of the united nations organization found?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,ENTITY,
112,where can you buy amazon kindle?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,ENTITY,
113,where did barack obama attend school?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
114,where did fred west work?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
115,where did henry hudson travel?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
116,where did jane austen grow up?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
117,where did kurds originate from?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
118,where did martin luther king junior go to college?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
119,where did pavlova originate?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,FOOD,
120,where did pizarro land?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
121,where did rihanna grow up?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
122,where did sir ernest shackleton come from?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,TV,
123,where did the arizona diamondbacks play?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
124,where did william howard taft go to high school?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,COMPANY,
125,where do islamic people go to worship?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,RELIGION,
126,where do most earthquakes happen in japan?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
127,where do people speak burmese?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
128,where do the abenaki indians live?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,HUMAN,
129,where does brian williams live?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
130,where does frida kahlo live now?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
131,where does kirk cameron live now?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
132,where does the band metallica live?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
133,where does the jordan river end?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
134,where great britain located?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
135,where is chowchilla located?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
136,where is christina aguilera from?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
137,where is isthmus of panama located?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
138,where is lake waynoka ohio?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
139,where is made kia car?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,ENTITY,
140,where is mallorca?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
141,where is rihanna from ethnically?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,HUMAN,
142,where is the kakadu national park located?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
143,where is the ottoman empire located?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
144,where is tom cruise from?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
145,where is wellsville missouri?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
146,where north dakota located?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
147,where to fly into bali?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
148,where was anne frank born?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
149,where was karl marx buried?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
150,where was the first ford motor company located?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
151,which airport is closest to barcelona port?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,None,
152,which countries are part of the united kingdom?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
153,who became president after harding died?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
154,who does kris humphries play for in the nba?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,SPORTS,
155,who does kurt busch drive for now?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,COMPANY,
156,who does new zealand import from?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
157,who does the islamic worship?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,RELIGION,
158,who does zach galifianakis play in the hangover?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
159,who invented arabic alphabet?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,LOC,
160,who is kobe bryant wife bio?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
161,who is president of france?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
162,who is susan st james?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
163,who is the 2011 heisman trophy winner?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
164,who is the current president of dominican republic 2011?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
165,who is the ravens quarterback 2012?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
166,who is the voice of lois from family guy?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
167,who owns the steelers football team?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
168,who played jacob black?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
169,who played juni in spy kids 4?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
170,who played todd manning on one life to live?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,TV,
171,who plays alan parrish in jumanji?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
172,who plays harold saxon in doctor who?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
173,who plays mary jane in spiderman 3?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
174,who plays meg in family guy?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
175,who plays stella in coronation street?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,FOOD,
176,who plays stewie griffin on family guy?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
177,who portrayed indiana jones in raiders of the lost ark?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
178,who started mary kay?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
179,who started southwest airlines?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
180,who the voice of peter griffin?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
181,who was charles darwin married to?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,MOVIE,
182,who was dr seuss?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
183,who was papa doc in real life?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,POLITICS,
184,who was the apostle paul considered to be?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,LITERATURE,
185,who was the leader of germany in wwii?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,TV,
186,who was the owner of kfc?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
187,who was the voice of simba?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
188,who was vincent van gogh inspired by?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,HUMAN,
189,who won 2001 fa cup?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,ENTITY,
190,who wrote 2 timothy 4?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,LITERATURE,